번호,연도,월,시도,구,상호,주소,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0000169,2021년,10월,서울,마포구,성산대교셀프주유소,서울 마포구 성산로 144,현대오일뱅크,셀프,,1724.45,1524.45,
A0009248,2021년,10월,서울,동대문구,삼영주유소,서울 동대문구 답십리로 258 (장안동),SK에너지,일반,,1719.48,1519.55,1200.0
A0009408,2021년,10월,서울,광진구,강평주유소,서울 광진구 아차산로 616 (광장동),SK에너지,일반,1979.94,1804.13,1604.13,1141.94
A0000948,2021년,10월,서울,양천구,양천구주유소,서울 양천구 국회대로 275 (목동),알뜰주유소,셀프,,1688.97,1486.32,
A0000526,2021년,10월,서울,강서구,화곡현대주유소,서울 강서구 강서로 151 (화곡동),SK에너지,셀프,1939.52,1744.77,1544.77,
A0009143,2021년,10월,서울,동대문구,배봉로주유소,서울 동대문구 서울시립대로 108,현대오일뱅크,셀프,,1727.0,1525.9,
A0009974,2021년,10월,서울,강남구,지에스칼텍스㈜에너지플러스허브GS타워,서울 강남구 논현로 516 (역삼동),GS칼텍스,일반,1951.29,1810.16,1601.39,
A0000974,2021년,10월,서울,양천구,신양주유소,서울 양천구 지양로 67,SK에너지,일반,,1795.61,1587.23,1319.32
A0000159,2021년,10월,서울,마포구,청원주유소,서울 마포구 월드컵북로 113 (성산동),현대오일뱅크,셀프,2008.65,1772.52,1572.84,
A0000328,2021년,10월,서울,영등포구,현대오일뱅크(주)직영 국회대로주유소,서울 영등포구 국회대로 746 (여의도동),GS칼텍스,일반,2261.1,2170.32,1985.16,
A0009372,2021년,10월,서울,광진구,대성산업(주)구의주유소,서울 광진구 광나루로 570 (구의동),GS칼텍스,일반,,1749.0,1549.0,
A0000519,2021년,10월,서울,강서구,화곡역주유소,서울 강서구 강서로 154 (화곡동),알뜰주유소,셀프,,1682.9,1479.61,
A0000978,2021년,10월,서울,양천구,플라트(주)서호주유소,서울 양천구 남부순환로 317,GS칼텍스,셀프,1869.65,1699.65,1495.29,1132.58
A0009712,2021년,10월,서울,강남구,대동석유 압구정주유소,서울 강남구 언주로 842 (신사동),SK에너지,셀프,1979.9,1829.58,1629.58,
A0009215,2021년,10월,서울,동대문구,삼미상사(주)장안킹셀프주유소,서울 동대문구  한천로 100 (장안동),SK에너지,셀프,,1716.61,1516.74,
A0000408,2021년,10월,서울,영등포구,행촌주유소,서울 영등포구 도신로 130 (신길동),SK에너지,셀프,,1718.74,1520.03,
A0032673,2021년,10월,서울,마포구,용강주유소,서울 마포구 토정로 258,S-OIL,일반,,1786.19,1586.19,1300.0
A0009708,2021년,10월,서울,강남구,지에스칼텍스㈜ 주성주유소,서울 강남구 영동대로 716,GS칼텍스,일반,2248.29,2115.06,1923.97,
A0001031,2021년,10월,서울,양천구,신정동주유소,서울 양천구 안양천로 663 (신정동),현대오일뱅크,셀프,,1728.97,1526.71,
A0000270,2021년,10월,서울,영등포구,한일주유소,서울 영등포구 도림로 486 (문래동3가),SK에너지,일반,,1792.1,1592.1,1365.0
A0000182,2021년,10월,서울,마포구,에쓰오일(주) 염리동주유소,서울 마포구 백범로 126 (염리동),S-OIL,셀프,,1764.97,1564.97,
A0000992,2021년,10월,서울,양천구,신월주유소,서울 양천구 신월로 193 (신월동),GS칼텍스,셀프,,1705.29,1505.29,1116.13
A0009705,2021년,10월,서울,강남구,대교셀프주유소,서울 강남구 강남대로 640 (신사동),SK에너지,셀프,1924.35,1757.9,1547.42,
A0009575,2021년,10월,서울,도봉구,오복주유소,서울 도봉구 방학로 43,S-OIL,셀프,2047.45,1764.06,1559.94,1211.23
A0001213,2021년,10월,서울,강남구,(주)중앙에너비스 수서지점,서울 강남구 광평로 202 (수서동),SK에너지,셀프,1984.13,1804.13,1594.13,
